Korean,English
것,thing
하다,do
있다,there is
되다,become
나,me
없다,does not exist
사람,person
우리,we
아니다,no
같다,Same
대하다,subtend
년,year
때문,Because
말하다,say
위하다,for
그러나,however
알다,know
그렇다,Yes
또,also
사회,society
많다,a lot
좋다,good night
더,more
받다,receive
그것,that
집,house
나오다,come out
그리고,and
문제,problem
그런,that
살다,live
생각하다,think
모르다,don't know
속,inside
만들다,make
데,place
두,two
앞,front
경우,case
중,middle
어떤,which
잘,well
그녀,she
오다,come
문화,culture
생각,thought
어떻다,How about
명,number of people
통하다,pass
그러다,Then
소리,sound
다시,again
다른,different
이런,this
여자,female
정도,degree
뒤,back
듣다,listen
좀,a little
싶다,look like
함께,together
지나다,pass by
많이,many
너,you
주다,give
인간,human being
이렇다,It's like this
어머니,mother
의하다,be due to
시대,times
다음,next
이러하다,It's like this
누구,who
곳,place
여러,several
세계,world
운동,work out
퍼센트,percent
학교,school
대통령,president
시작하다,start
바로,as soon as
어느,any
무엇,what
정부,government
모든,every
번,th
그거,that
돈,money
국가,nation
그런데,however
날,me
여기,here
여성,female
친구,friend
마음,mind
후,after
가다,go
관계,relationship
아버지,father
남자,man
몸,body
얼굴,face
들어가다,enter
왜,why
나타나다,appear
지역,region
다르다,different
모습,figure
물,water
만나다,meet
보이다,show
이것,this
없이,without
이번,this time
길,road
생활,life
뿐,only
사이,between
방법,method
새롭다,be new
우리나라,Korea
내다,give
앉다,sit
처음,first
손,hand
그때,at that time
삶,life
찾다,find
특히,especially
지금,now
이야기,story
교육,education
사다,buy
경제,economy
아직,yet
잡다,grapple
같이,together
선생님,teacher
예술,art
서다,stand
역사,history
읽다,read
결과,result
내용,detail
동안,during
책,book
일어나다,wake up
당신,you
넣다,enclose
중요하다,important
무슨,what
느끼다,feel
어렵다,difficult
힘,strength
너무,too
나라,country
의미,meaning
밝히다,define
이미,already
정치,politics
국민,people
생명,life
얘기,talk
학생,student
연구,research
엄마,mom
이름,name
하나,one
내리다,get off
사건,case
및,and
쉽다,be easy
짓다,compose
또한,also
이유,reason
또는,or
필요하다,need
글,writing
생기다,befall
사용하다,use
남편,husband
들어오다,come in
밖,outside
세상,world
작다,be small
대학,university
작품,work
상황,situation
가운데,middle
보내다,let go
즉,in other words
따라서,thus
상태,situation
이후,since
당시,at that time
문학,literature
더욱,more
아주,very
높다,be high
최근,recent
현실,reality
환경,environment
컴퓨터,computer
먼저,first
다니다,go
얼마나,how much
자체,self
열다,open
머리,head
남다,remain
부분,part time job
기업,enterprise
거기,there
변화,change
아들,son
뜻,meaning
아,ah
기다리다,wait
떨어지다,get off
선거,election
관하다,govern
그냥,just
나누다,divide
이용하다,use
거의,almost
곧,soon
중심,center
활동,activity
관심,interest
역시,also
이거,this
광고,advertisement
나다,grow
방,room
정신,spirit
땅,earth
이루다,make
아침,morning
웃다,laugh
현상,phenomenon
두다,lay
떠나다,leave
기술,technology
전체,entire
얻다,get
아름답다,beautiful
끝,end
민족,nation
조사,inspection
듯,Seems like
입,mouth
뭐,what
그대로,like that
영화,movie
필요,necessary
하늘,sky
년대,decade
과학,science
듯하다,look like
자연,nature
구조,structure
결국,at last
밥,rice
입다,put on
오히려,rather
프로그램,program
이루어지다,come true
하루,day
그림,painting
마시다,drink
혼자,alone
나가다,go out
이제,now
교수,professor
사랑,love
전화,phone call
끝나다,end
돌아오다,come back
아빠,dad
걸리다,hang
지키다,protect
한번,once
커피,coffee
가슴,chest
길다,long
바라보다,look at
알아보다,find out
회사,company
맛,taste
대부분,mostly
산업,industry
매우,very
오르다,rise
음식,food
표정,expression
일부,portion
요즘,recently
계획,plan
느낌,feel
얼마,how much
성격,personality
계속,continue
세기,century
세우다,erect
아내,wife
가족,family
놓다,put
놀다,play
향하다,lean towards
관련,related
형태,form
각,each
도시,city
작업,work
분위기,atmosphere
그러하다,That's right
자기,self
나이,age
우선,first of all
믿다,trust
바꾸다,change
낳다,spawn
정보,information
좋아하다,like
그리다,draw
만큼,by
배우다,learn
역할,role
옆,side
행동,action
어,uh
국내,Domestic
비하다,compare
기관,organ
입장,position
만하다,be worth
아래,under
방식,method
영향,influence
나서다,launch
흐르다,flow
깊다,deep
내,my
산,mountain
하지만,but
조건,condition
문,door
꽃,flower
단계,step
올리다,raise
그동안,In the meantime
교사,schoolmaster
갑자기,suddenly
넘다,exceed
지니다,carry
잘하다,do well
마을,village
대표,representative
가능성,possibility
방향,direction
대회,rally
목소리,voice
노래,sing
바다,ocean
힘들다,it's tough
공부,study
움직이다,move
의원,member
노력,effort
전혀,at all
언니,sister
단체,organization
분,minute
알려지다,become known
가능하다,possible
능력,ability
주장하다,assert
자식,child
돌리다,turn
불,fire
주민,people
모으다,collect
자료,data
존재,existence
학년,grade
신문,newspaper
가지다,have
이해하다,understand
제품,product
분야,field
선생,teacher
돌아가다,return
사업,business
행위,act
수준,water level
지난해,last year
표현,expression
기분,mood
젊다,be young
동시,the same time
옷,clothes
순간,moment
전쟁,war
꿈,dream
할머니,grandma
방송,broadcast
이야기하다,talk
나무,tree
자다,sleep
연극,theater
오늘,today
마찬가지,sameness
노동,labor
이때,At this time
가치,value
시간,hour
집단,group
현대,hyundai
살펴보다,take a look
장관,minister
차이,difference
풀다,unravel
시절,time
물건,thing
개인,individual
근데,however
발,foot
작가,author
효과,effect
불교,buddhism
끌다,draw
대로,boulevard
빨리,hurry
시작되다,begin